Name,Author,Image Link,Synopsis,Tags
"Father of Monstrosity (ALSO AVAILABLE ON AMAZON)","Dosei","https://www.royalroadcdn.com/public/covers-large/62577-father-of-monstrosity.jpg?time=1686861148","PLEASE DO NOT disregard the content warnings. They are there for a reason. This is a gruesome body-horror story with no moral absolutism.","Portal Fantasy / Isekai, Anti-Hero Lead, Grimdark, Male Lead, Strong Lead, Action, Fantasy, Horror, Tragedy, Magic, Supernatural, Villainous Lead"
"Player Manager - A Sports Progression Fantasy","TedSteel","https://www.royalroadcdn.com/public/covers-large/player-manager-a-football-management-progression.jpg?time=1661872256","Book 1 is on Amazon and Audible! Can you BELIEVE it?!","LitRPG, Progression, Strategy, Male Lead, Contemporary, Adventure, GameLit, Sports"
"Death Loot & Vampires","BenjaminKerei","https://www.royalroadcdn.com/public/covers-large/65108-death-loot-vampires.jpg?time=1680786105","Becoming a knockoff Dracula in tight leather pants was never part of Vincent’s plans. Neither was being summoned to another world by a cult of vampire wannabes. But both happened.Now Vincent’s left picking up the tattered pieces of his humanity as he tries to grow strong enough to keep his family safe. There’s a world filled with nightmares, and the looming threat of losing his soul standing between his goal and his reality, so it’s not like it will be too hard or anything.Hell should tremble.A good man is going to war.","LitRPG, Progression, Comedy, Non-Human Lead, Adventure, Fantasy, Horror, Magic, Supernatural"
"Infrasound Berserker","Rhaegar","https://www.royalroadcdn.com/public/covers-full/47017-infrasound-berserker.jpg?time=1637852050","This story is currently only available on Royalroad.com and on my patreon. Any other versions are stolen and an infringement on my copyright. The first chapter was posted here in September 2021.","LitRPG, Progression, Female Lead, Slice of Life, Action, Adventure, Fantasy, GameLit, Magic"
"Demon World Boba Shop: A Nice Slice of Life Story","R.C. Joshua","https://www.royalroadcdn.com/public/covers-large/83298-demon-world-boba-shop.jpg?time=1710797815","A relaxing slice-of-life story mixing boba, demons, and friendships in a new world.","LitRPG, Portal Fantasy / Isekai, Progression, Slice of Life, Fantasy, GameLit, High Fantasy, Magic, Reincarnation"
"Mother of Learning: The AU Chapters","nobody103","https://www.royalroad.com/dist/img/nocover-new-min.png","This is a collection of what-if scenarios for my other story, Mother of Learning. Time related stories are full of interesting concepts, and alternate timelines are one of them. I've always been fascinated with AU stories, and I've decided to make a few chapters to celebrate getting Mother of Learning official published on Amazon.","Time Loop, Comedy"
"Shade Touched","Zat","https://www.royalroadcdn.com/public/covers-full/34473-shade-touched.jpg?time=1602489593","A monster is born in the depths of the wilds, but she isn't like her siblings. Curiosity colors her every thought, and a hunger for understanding grows within this little creature. The world is full of wonders just waiting to be discovered! She's not just hunting for her next meal, her prey is something far greater: knowledge. But as wonderful as it is, discovery alone is missing half the point. After all, what joy is there in finding the next amazing thing when there's no one to share it with?","Non-Human Lead, Slice of Life, Action, Adventure, Fantasy, Female Lead, High Fantasy, Magic"
"When Immortal Ascension Fails Time Travel to Try Again","DragonOfRochester","https://www.royalroadcdn.com/public/covers-large/36597-when-immortal-ascension-fails-time-travel.jpg?time=1697232586","What is my 1000-year-old monster self to do when I’ve failed my immortal ascension? Time travel — accidentally — and wind up back in my 9-year-old body, needing to re-cultivate, of course. But after that? Get REVENGE! Muahahahaha!","Portal Fantasy / Isekai, Progression, Xianxia, Comedy, Female Lead, Fantasy, Satire, Reincarnation, Soft Sci-fi, Strong Lead"
"Azarinth Healer","Rhaegar","https://www.royalroadcdn.com/public/covers-full/16946-azarinth-healer.jpg","Heya.","LitRPG, Female Lead, Action, Adventure, Fantasy, Magic"
"Memoirs of Your Local Small-time Villainess","Flameruner","https://www.royalroadcdn.com/public/covers-large/47995-memoirs-of-your-local-small-time-villainess.jpg?time=1694377175","An editor at the prime of her life—and with maybe just a little too much free time—finds herself waking up in one of her favorite RPGs with no clue as to what's going on or how to get back home.","Portal Fantasy / Isekai, Progression, Female Lead, Action, Adventure, Fantasy, High Fantasy, Magic"
"Valkyrie's Shadow","Aeridinae Lunaris","https://www.royalroadcdn.com/public/covers-full/39336-valkyries-shadow.jpg?time=1610657459","In the wake of the Battle of Katze Plains, the banner of Ainz Ooal Gown flies proudly over the city of E-Rantel. The Sorcerous Kingdom has entered the world’s stage to the clamour of death and devastation; the surrounding nations fearfully prepare even as they reel from its calamitous debut. Within the borders of the newly annexed realm, its Human subjects cower in their homes as the Undead openly walk the streets and stalk the lands. Yet, when a destitute noble finds herself under the auspices of an unlikely benefactor, events are set into motion that will resound over the world for ages to come.","GameLit, Portal Fantasy / Isekai, Progression, Anti-Hero Lead, Ruling Class, Action, Adventure, Drama, Fantasy, Female Lead, First Contact, High Fantasy, Magic, Male Lead, Multiple Lead Characters, Non-Human Lead, Slice of Life, Strategy, Strong Lead, Supernatural"
"The Years of Apocalypse - A Time Loop Progression Fantasy","UraniumPhoenix","https://www.royalroadcdn.com/public/covers-large/the-years-of-apocalypse-a-time-loop-progression.jpg?time=1706941233","Mirian Castrella, a student in her final year of a magical academy, unexpectedly finds herself caught in a time loop and haunted by strange dreams of the Elder Gods. Her plan had been to become an artificer to support her struggling family, but when the Akana Praediar army betrays her country in a surprise attack, everything changes. Instead, she finds herself delving into the dark secrets of the world, mastering magic, finding allies, and uncovering a vast conspiracy.","Time Loop, Progression, Female Lead, Adventure, Fantasy, High Fantasy, Magic"
"The Power of Ten, Book Three : The Human Race","RE Druin","https://www.royalroadcdn.com/public/covers-full/35487-the-power-of-ten-book-three-the-human-race.jpg?time=1598833961","This story TWICE Completed the Royal Road Writathon challenge!","LitRPG, Urban Fantasy, Progression, Female Lead, Strong Lead, Action, Adventure, Fantasy, GameLit, Gender Bender, High Fantasy, Magic, Mythos"
"Book Of The Dead","RinoZ","https://www.royalroadcdn.com/public/covers-full/47038-book-of-the-dead.jpg?time=1637047029","With one touch of the stone, Tyron receives his Class and his life changes forever.","LitRPG, Progression, Male Lead, Action, Adventure, Fantasy, Horror, Magic"
"Hope","sarvashaktimaan","https://www.royalroadcdn.com/public/covers-large/53765-hope.jpg?time=1692796629","The Aspects are long dead. The venerated creators of reality are no more.","Reincarnation, Urban Fantasy, Progression, Anti-Hero Lead, War and Military, Action, Adventure, Fantasy, High Fantasy, Magic, Male Lead, Mythos, Non-Human Lead, Secret Identity, Strategy, Strong Lead, Supernatural"
"Demon Card Enforcer [A Noir Cardgame LitRPG]","Tharsult","https://www.royalroadcdn.com/public/covers-large/demon-card-enforcer-aaaalylqoxq.jpg?time=1706170670","It’s Drop Night, the one night every decade when the gods hand out cards to a lucky few. If you get a deck, you’re a deckbearer capable of great feats—such as controlling frightening monsters.","LitRPG, Urban Fantasy, Progression, Male Lead, Action, Adventure, Fantasy, Magic"
"Paranoid Mage","InadvisablyCompelled","https://www.royalroadcdn.com/public/covers-large/49879-paranoid-mage.jpg?time=1678485808","Now on Book Five!  Check the Volumes selector to make sure you start at the right place!","Urban Fantasy, Male Lead, Contemporary, Action, Fantasy, Magic"
"Battle Trucker","TomWrites","https://www.royalroadcdn.com/public/covers-full/48497-battle-trucker.jpg?time=1636846600","The first book of Battle Trucker, What the Truck, is now available on Kindle Unlimited, Amazon, and as an Audiobook narrated by the fantastic Zura Johnson! A preview of book 1 (10%) is posted here, as is the in-progress book 2. Thanks for reading!","LitRPG, Progression, Post Apocalyptic, Ruling Class, Female Lead, Action, Adventure, Fantasy, Sci-fi, Dystopia, Genetically Engineered, Magic, Soft Sci-fi, Strong Lead, Technologically Engineered"
"Underland","Maxime J. Durand (Void Herald)","https://www.royalroadcdn.com/public/covers-full/underland-aaaa3sm9eba.jpg?time=1634587433","Underland is now available on Kindle and Audible!","Steampunk, Multiple Lead Characters, Adventure, Fantasy, Mystery, Genetically Engineered, Supernatural"
