"Novel Name","Genre",Tags,"Image Link","Synopsis"
"My Rejected Wife Is A Billionaire","Romance","HE,kickass heroine,kicking,city","https://files.dreame.com/0/icon/s-5ee75f62a3309463b512a1685fbf5b6a/1708939999.jpg@208w_300h_2e_53287592837a.webp","""Isn't that your ex wife, sir?""

At a high-end charity event, Justin Quinn raised his glass, jerking his gaze to the woman not far away.

Draped in multi-million-dollar jewels and a haute couture silk gown, she was elegant and regal, captivating everyone's attention effortlessly.

Justin froze; his ex-wife Cecilia Green couldn't possibly look this gorgeous!

""Hey, Ex-Husband, welcome to my charity bash,"" the woman said.

Author's something to say: Hey guys!?‍♂️ I'm super surprised at how much u all luv this book, I'll endeavor to update the chapters before 18:00 every day so don't miss it! Wish you were here! Love u guys! Thx!"
"The Luna He Rejected","Romance","billionaire,revenge,HE,curse,badboy,drama,bxg,pack,another world,cruel","https://assets.dreame.com/cover/2023/10/26/1717574761427161088653a8fc47661c.png@.webp","Everyone thinks Ivy is just a weak she wolf after she didn’t gain her wolf at 16. Her mate decides to reject her after her 16th birthday but wants to keep her as a mistress or exchange her to get power. Ivy meets her knew mate, but leaves her pack and no one knows where she is, until her return 4 years later as a completely new person. Her mate will try everything to gain her back, could he accomplish what he wishes? Or will he lose her forever."
"The Alpha King and the Shadow","Romance","fated,shifter,kickass heroine","https://assets.dreame.com/cover/2024/01/31/175260773310837145665ba02c45081c.png@.webp","""What the hell just happened?"" He asks staring at us both.

""What just happened, Markus, is that we found our new Queen."" I smirk as Markus’s jaw drops and the warriors start to bow. I look over to her and see her snap her arm back in place, making me wince a little, but she showed no emotion. She looks at me then looks around. ""You have got to be shitting me."" She says, making me chuckle a little. While everybody else gasps and looks towards me. I smirk and say, ""No I am not shitting you. You are the chosen one."" I can tell by the look on her face she is panicked. ""Well then… UNCHOOSE it."" She says, clearly getting angry. ""NO!"" I say and start walking away. I look to Markus. ""Get her to a room to clean up. Send a doctor to look at her. I will be announcing her in 30 minutes.""

-------

The shadow is a monster that haunts people's dreams. It can kill anything without leaving a trace it was there. Nobody knows where it came from, only to not get on it's bad side.

LeeAca is of gamma blood. She is left alone in the pack because the pack knows her secrete. She is the shadow. After being rejected and betrayed multiple times LeeAca does not want another mate.

King Alarick is being forced to take a Luna. His first chance mate betrayed him and he was forced to kill her. He does not want to have a second chance, fated or mated.

What happens when every unmated wolf is required to go to the Royal Ball that King Alarick must throw to choose a Luna? Will King Alarick choose LeeAca? What will happen with the Shadow? Join them on their journey to find out.

MATURE WARNING

THIS BOOK CONTAINS SCENES OF s****l ASSAULT

THIS BOOK CONTAINS VIOLENT SCENES"
"The War God's Favorite","Romance","forbidden,HE,dominant,prince,bxg,another world","https://files.dreame.com/images/2023/04/20/16490479702909173766441433850f06.png@208w_300h_2e_53287592837a.webp","She was destined to Die.

He was born to Kill.

Cassandra has known nothing but suffering and slavery for her whole life. Unjustly condemned to death, she was ready to leave this hell and expire her last breath in the arena.

But destiny had other plans for her, and instead of being killed, she was offered as a tribute to the merciless Kairen, one of the Dragon Princes, also known as the Empire’s God of War.

What will happen now that she is trapped in his den, at his mercy...?

Rating: 18+"
"The Perfect Luna","Werewolf Romance","revenge,alpha,possessive,reincarnation/transmigration,kickass heroine,luna,mystery,werewolves,betrayal,rebirth/reborn","https://files.dreame.com/images/2022/09/15/15705575398868910086323b74f6d791.png@208w_300h_2e_53287592837a.webp","COMPLETED

Riannon stood there watching how her husband of six years brought his true mate Roxy to their packhouse. Although he insisted that his mate was only there to appease his wolf and promised not to touch her, Ria knew the sad truth. This little shy omega would destroy everything Ria loved and treasured in less than a year. Being the perfect Luna was simply not enough for her beloved husband when his mate bond kicked in. But also … their divorce wasn’t enough for the evil omega. Right before her own Luna crowning ceremony, she ordered to brutally kill Riannon and everyone who was still loyal to her.

However, the Moon Goddess had other plans. Ria was returned to the exact moment when her life turned upside down with a chance to change everything. The chance she was not going to waste.

Everything was going so well, but Ria did not expect the changes she made to create a chain reaction. Thanks to that, she soon discovers her own true mate – the Lycan King. And that’s when the story truly begins.

The Perfect Luna is an award-winning book written by Marissa Gilbert and is the first book in The Divine Wolves series.

Book 1: The Perfect Luna

Book 2: The Luna Trials

Book 3: The Alpha God's Luna

The overall winner of Stary Writing Academy III competition and Dreame ACE Book contest."
"The Prophecy: Orphaned Princess (Prophecy Series Book 2)","Werewolf Romance","alpha,mate,kickass heroine,powerful,drama,bxg,werewolves,female lead,pack,supernatural","https://files.dreame.com/images/2021/10/22/1451620149240311808617306354b4dd.png@208w_300h_2e_53287592837a.webp","Kalea was orphaned when she was an infant. She was found at the pack border of the Silver Moon pack in Wyoming and was adopted by the Omega who found her. Although Kalea grew up loved by her adoptive family, she wasn't loved by her pack. Kalea found out all too soon that she wasn't her parents' biological daughter. Not knowing where she came from or who she really was, Kalea just attributed all of the bullying to teens being teens.

Bullied and tormented her entire life, Kalea had only one thing to look forward to - finding her mate. But that hope was soon destroyed on her 18th birthday when she not only found out she had no wolf, but that her mate was none other than her biggest tormenter, the future Alpha of the Silver Moon pack, Joshua Harding - who wasted little time in rejecting her when he and the rest of the pack realized she had no wolf.

The rejection alone throws Kalea in a downwards spiral of depression and loneliness. Then, a sudden rogue attack on the pack leaves Kalea fighting for her life after her parents are killed and her unable to protect herself unable to shift. She's able to escape near-death and runs away from the Silver Moon pack, where she accidentally stumbles into the territory of a neighboring pack, the Hounds of the Night pack. One of the deadliest packs in the region.

Kalea is thrown into the dungeons for trespassing and is treated even worse than she was at Silver Moon. That is until Edward, Eddie for short, the future Alpha of the Hounds returns from Alpha training with the elders. At the rugged age of 25, Eddie, was not expecting to get to work as soon as he returned home; however, what he expected even less was to find young Kalea to be his mate.

Eddie does his best to fight the mate bond, but the more he sees Kalea in the dungeons, the more he realizes that she doesn't belong there, but rather by his side, leading his pack. However, what neither Eddie nor Kalea knows is that Kalea isn't just an ordinary werewolf, but a pureblood who is a direct descendant of the royal purebloods. A direct descendant of Amelia Wells Morrison - Queen of Werewolves."
"The Wicked Wolf","Romance","HE,forced,powerful,king,drama,bxg,campus,pack","https://assets.dreame.com/cover/2024/01/11/1745244815693926400659f39836b417.png@.webp","Vasilisa Rhys should have been the Luna of the strongest Alpha in the world, that is until the unsmiling and scarred King appears at her wedding.

As the daughter of a very influential Alpha, Vasilisa has trained all her life to be perfect. Groomed to be a Luna that is strong, wise and graceful, she has strived to be everything an Alpha is and more.

The King is the opposite. The scars on his face and all over his body show just how horribly wicked he is, even with his undeniably handsome face. Now, not only does the Wicked Wolf’s eyes seem to memorize every inch of her soul, but he kidnaps her at her wedding to the strongest Alpha in the world, having no plans of ever returning her.

She quickly learns that the Wicked Wolf isn’t so wicked, at least with her."
"Unscentable","Werewolf Romance","alpha,HE,curse,confident,drama,werewolves,pack,disappearance","https://assets.dreame.com/cover/2023/09/28/1707322593654898688651543b1c3baa.png@.webp","Piper rejected her Mate at 21, as he could not scent her, did not know who she was. Unable to handle the pains of betrayal anymore, she moves away to live her life as a human, her wolf Harper no longer able to shift to her wolf form, to weakened by their life inside the pack.

Piper knows she is unscentable to her own kind, no one has ever even noticed her, has been alone in her pack since she was 10 years old. Leaves her home pack for her own self-preservation and survival, Rejects her Mate while he sleeps in the hope it will break their bond to each other, runs away to live her life out in the human world. Mate-less with only the mind of her wolf left.

Years later Piper is threatened by and Alpha to have her reported to the Wolfen council and be sent to prison if she didn't do as he wanted and make a dress for his daughter, then again threatened by that same alpha as he tried to make her a part of his pack. Piper manages to get away, leaves the country to feel safe from him.

Unbeknownst to Piper, her Mate has found her due to her reaction to him in her store, comes to the conclusion she is his lost mate. Though Piper believes he has found another Mate, as Bradley Drake brought a she-wolf right into Piper's store himself to force Piper to make the woman a Luna Ceremony gown.

Piper knows she is unscentable to him and cannot handle seeing him with another it is too much pain for her and her wolf. After fleeing the country to escape the other Alpha after her, she is rendered unconscious after a fight for her life and wakes up Marked by her Mate, inside of his Pack, a place she and her wolf swore they would never return to.

Can she learn to trust in him, will she believe that he has scented her?

Can Piper and her wolf Harper, find out why they are unscentable?

Will Piper and Harper trust in the Mate Bond and want to claim their Mate in return.

Can Bradley Drake win over his Mate Piper Harper and bring her back into the Pack she was born into? will Piper accept him and become the Luna to the Pack she once felt abandoned by? so abandoned it in return herself, with no intention of every returning."
"Bullied Mate Of The Alpha Triplets","Werewolf Romance","alpha,dark,love-triangle,HE,opposites attract,curse,arrogant,witty,highschool,pack,seductive","https://assets.dreame.com/cover/2023/12/18/1736703411422134272658026b6e7079.png@.webp","#DreameWritingMarathonIl

Ember is an Omega, who is constantly picked on and bullied by her schoolmates. Unfortunately, her dad dies protecting the pack. The Alpha of the pack decides to take her to live in the pack house in order to honor her dad's sacrifice. She is now living under the same roof with Alpha Dominic triplet sons! Aka her bullies, who are dead set on making her life even harder than she imagined.

Her life takes a dramatic turn when she finds out she is mated to not one but all three of them! Three powerful Alphas, a cursed omega mated to all but can only be claimed by the one who marks her first…"
"Saved by the Mafia King","Romance","possessive,contract marriage,dominant,mafia,sweet,bxg,first love,virgin,love at the first sight,passionate","https://assets.dreame.com/cover/2023/07/26/168425241137781555264c155e932195.png@.webp","In order to save her mother’s life, Marabella agrees to marry the mafia lord, Luca Barello. For Luca, it’s love at first sight, he had never met a woman as brave as Mara. For Marabella, Luca saved her from a life of misery instructed upon her by her mother. Together, they grow closer, fighting through the obstacles that Luca’s enemies have in store for them.

Warning: This book is for adults 18+. This book contains graphic scenes, along with b**m scenes. Please read at your own advisory."
"Deceiving My Bully Stepbrother","Romance","HE,stepfather,sweet","https://assets.dreame.com/cover/2024/01/02/1742324513326530560659499c592f82.png@.webp","Johnnie Turner has been the victim of Caspian King's bullying for far too long. After learning he will soon be closer to her than she ever thought before and has to now call him stepbrother, Johnnie vows to make his summer absolutely miserable just like he has made her life for the last five years. But what happens when she realizes the hockey-playing bully actually has a heart? Will all of Johnnie's plans for revenge go out the window? Or will they come together and get past the traumas that seem to lie buried deep inside of them?This is a spicy enemies turned lovers book with a twist of forbidden romance! #LoveDisobeySpecialWritingContest

#DreameWritingMarathonII"
"The Luna Trials","Werewolf Romance","alpha,second chance,arranged marriage,manipulative,luna,bear/werebear,werewolves,royal,supernature earth,enimies to lovers","https://files.dreame.com/images/2022/09/15/15705563836556902406323b63cf0043.png@208w_300h_2e_53287592837a.webp","After Savannah’s mate turned out to be a traitor who tried to kill her family, she decided she did not want to love or feel anything anymore. So, when the Lycan King of the Northern Kingdom comes to her brother to demand her hand in marriage in return for his support, she decides to make the ultimate sacrifice and accept the proposal.

However, when she arrives in the North, she has the shock of her life finding out that the King did not count on her agreeing to become his wife. Moreover, to avoid marrying her, he invited twelve other brides to compete for the title of The Luna of The North.

Now just a contender in The Luna Trials, Savvy has to choose whether to take the insult and leave... or stay, making the North King regret the day he asked for her hand. She will have to become a rival of twelve gorgeous women who would stop at nothing to get the crown on their pretty heads. The North is a rough place, and some of the competitions are dangerous, to say the least. The northerners will only accept the Luna that is worthy.

Everything gets even more complicated when Savannah starts falling for a stranger, who is the only person nice to her in this foreign place. Her mate suddenly appears back in her life, and the enemies of both kingdoms start to act, endangering everyone and everything.

This is the second book in the Divine Wolves series, but it can be enjoyed as a standalone story.

Book I: The Perfect Luna

Book II: The Luna Trials

Book III: The Alpha God's Luna"
"Their Warrior Luna ","Romance","dark,opposites attract,shifter,mystery,loser,war","https://assets.dreame.com/cover/2023/05/15/1657927270627938304646190b672ce4.png@.webp","Part 1:

Sixteen-year-old Harley Ashwood wanted to get through high school without running into the two boys who ignited her soul with anger and curiosity. It isn’t until they reject her as their Goddess-given mate and force her to vacate the only home she has ever known that Harley learns her self-worth and what she is truly capable of.

Ten years later, she is forced to return to The Clearwater pack when her parents are murdered in a rogue attack. Will her newfound fire light a spark between the three, or will Harley finally have the guts to accept their rejection?

What will happen to the trio when The mysterious King of the Damned comes to town, offering a big payout for the retrieval of the Mark of the Moon?

In the midst of all hell breaking loose, will Harley find a way to save the future of her pack, or will the rogues and vampires destroy Clearwater for good?

Go on this wild ride of love and chaos to find out the future of Clearwater and see if Harley will get her happily ever after, after all.

Part 2:

Normal. Ordinary. Boring even. That was me. I was all of those things. A regular, everyday, naive eighteen-year-old girl... Until I wasn't any of those things anymore.

I let myself be fooled and manipulated by a piece of sh*t until nothing was left of me, of the sweet girl I tried so hard to keep alive. But I couldn't. I couldn't preserve her innocence or her excitement over dancing in the rain and to think... It all started with a kiss.

One kiss against a bookshelf in an empty library would be the first of many steps leading me to the end. Or maybe it was the beginning?

The beginning of a new start somewhere between heaven and hell, a tender in-between that feels like a fever dream. A realm where dragons fly in the sky, and mermaids swim in the seas. A home where death makes coffee in the mornings and the king tattoos a fresh start on my undiscovered skin. But what happens when that fever dream becomes a hellish nightmare? What happens when that sweet naive part of me that was taken glides into the nowhere?

What happens when she becomes so bitter and angry that not even the sickeningly sweet taste of revenge can sate her starvation?

Will the king come in on his white horse like a knight in shining armor to save me from myself, or will death restore the pieces of my soul and make me whole again?"
"The Billionaire CEO's Runaway Wife","Romance","billionaire,HE,arranged marriage,arrogant,kickass heroine,heir/heiress,drama,bxg,rejected","https://assets.dreame.com/cover/2023/11/05/172116425766135398465479ebfa7db2.png@.webp","Book Three of the Lost Loves series. For three years Sarah has languished under her husband's neglect and his family's abuse. Their marriage had been arranged by his grandmother the infamous Alice Stanton a titan in the business world. Despite being a woman she stood amongst the likes of Augustus DaLair and Richard Prescott earning both fear and respect among her peers. Alice Stanton has an eye for people and she personally chose Sarah as the perfect partner for her grandson, Lucas Stanton, her chosen heir.

Sarah thought she was strong enough to endure her in-law's abuse and society's ridicule but one night Lucas's long suspected infidelity is revealed and Sarah is left in tears of regret. Taking her fate into her own hands she leaves him after securing a divorce and her freedom.

After three years Lucas still struggles wondering why his marriage fell apart and where his wife disappeared to. He wonders if he will ever know the truth until the day she reappears as suddenly as when she left but he is not prepared for their reunion.

The plain, docile woman he remembers is gone replaced by a beautiful and daring woman, capable of charming even the likes of Silas Prescott. For unbeknownst to Lucas Sarah has a secret, she is in fact the celebrated author Rosemary Thomas who's books top the bestseller list every year. And Sarah has another secret...when she left him she did not leave alone...

Lucas thought he was prepared to face his ex-wife but how will he introduce himself to the daughter he never knew?"
